"cell_type","color"
"B","steelblue"
"small-pre-B?","#4682A0"
"large-pre-B?","#468290"
"pre-B?","#468290"
"pre-pro-B?","darkblue"
"pro-B?","#4848AC"
"B-high-SUB1","#366389"
"BEMP","purple"
"eosinophil-prog?","#8000A0"
"post-BEMP","#8000A0"
"CLP-E","#6E1C71"
"CLP-L","darkblue"
"CLP-M","blue"
"CLP","blue"
"CLP_NKTDP_intermediate?","#BBBBBB"
"DC","cyan"
"cDC","#B0FFFF"
"cDC?","#B0FFFF"
"cDC2-prog?","#B0FFFF"
"high_cMonocyte_sig_cDC2-prog?","#B0FFFF"
"cDC1","#D0FFFF"
"pDC","cyan"
"AS-DC","#0FD4D4"
"DC-prog?","#34FCE2"
"Endothel","black"
"EP","red"
"ERYP","red"
"high_MPP_sig_ERYP","#FFC1C1"
"HBB-MPO-high","#F07575"
"post-EP","#F55656"
"GMP-E","#7F9D00"
"GMP-L","darkgreen"
"CFD_tryptase_GMP-L","#398439"
"HSC","brown"
"MEBEMP-L","plum"
"MEBEMP-M","#EEBB6E"
"MEBEMP-E","#EEBB6E"
"MEBEMP","#EEBB6E"
"Monocyte","chartreuse"
"Monocytes","chartreuse"
"cMonocyte","chartreuse"
"Monocyte-prog?","#03AB6E"
"Monocyte-prog-L?","#03AB6E"
"intermMonocyte","#ADFF5C"
"ncMonocyte","#83EA1D"
"ncMonocytes","#83EA1D"
"MPP","gold"
"HSC_MPP","gold"
"NKT","orange"
"NKT-prog?","#FFD000"
"NK","yellow"
"T","orange"
"NKTDP-E","#566CF2"
"NKTDP-L","lightblue"
"NKTDP","lightblue"
"post-NKTDP-L","#AFDDEC"
"Unknown","#CCCCCC"
"nan","#CCCCCC"
"state_unassigned","#CCCCCC"
"unassigned","#CCCCCC"
"Dissimilar","#EEEEEE"
"Dissimilar-CD34-low","#EEFFEE"
"Dissimilar-CD34-low-JUN-high","#FFFFB0"
"Mixture","#CCCCCC"
"N205-MDS","#996600"
"N186-MDS","#666633"
"N191-AML","#996666"
"N257-AML?","#995566"
"Dissimilar-high-IFN","#FFDD00"
"MKP","#FF00FF"
"high_MPP_sig_MKP","#FF7EFF"
"post-MKP","#AA00AA"
"post-GMP","#03AB6E"
"post-GMP1","#03AB6E"
"post-GMP2","#03DB6E"
"SELL-outlier","#EEEEEE"
"pre-B-FAHD2A-outlier","#EEEEEE"
"pro-B-NKTR-outlier?","#EEEEEE"
"Endothel-SELE-outlier?","#EEEEEE"
"plasmablast","#366389"
"plasmablast_igha_iglc","#366389"
"plasmablast_ighm_ighg","#366389"
"memory-B","steelblue"
"naive-B","#78B3E4"
"CCDC88A-high-B","#7C9CB7"
"aged-B?","#76A5AF"
"effector-memory-CD8-T","#BF9000"
"GZMK-high-NKG7-mid-T","#B45F06"
"naive-CD8-T","#F1C232"
"naive-CD4-T","#FFD966"
"memory-CD4-T","#FFE599"
"Doublet","#AAAAAA"
"monocyte_B_doublet","#AAAAAA"
"large-pre-B-MPP-Doublet?","#AAAAAA"
"MPP-pro-or-pre-B-MC_Doublet?","#AAAAAA"
"small-pre-B-dividing_MPP-Doublet?","#AAAAAA"
"unknown-neutrophil-Doublet?","#AAAAAA"
"mono-neutrophil-Doublet?","#AAAAAA"
"NKTDP-HSC-Doublet?","#AAAAAA"
"HBA_HBB_contaminated","#AAAAAA"
"LAMP3_outlier","#D9EDED"
"mregDC","#D9EDED"
"MTSS1_CLEC4A_B_outlier","white"